HIST 498R      : (Permission Required Prior to Enrollment) Permission of the department required.
SPAN 300       : The primary objective of this Foundational Course is to provide students with the historical, political, geographic, and aesthetic background relevant to the study of Hispanic culture, that is, to develop a student's cultural literacy with regards to the Spanish-speaking world. This course also stresses the techniques of historical/textual criticism and their relationship to the cultural history of the Spanish- speaking world. The immediate pedagogical aim of Spanish 300 is to prepare students intellectually and linguistically to undertake advanced work in Spanish both at Emory and abroad. More generally, the course will help prepare students to engage more thoughtfully in acts of communication that cross cultural borders with and within the Spanish-speaking world. Spanish 300 satisfies the Emory College GER in "Intercultural Communication." PREREQUISITE: SPAN 212 or an Official Spanish Placement into our Foundational Course level (Span 300-318). Take the online Spanish Placement Exam at http://spanport.emory.edu/home/undergraduate/placement/index.html.
DANC 342       : (Permission Required Prior to Enrollment) Contact Lori Teague (lteague@emory.edu) for a permission number. Preference given to declared dance majors and minors. Permission of the department required.
FILM 485       : FILM 301 or FILM 301W or FILM 302 or equivalent transfer credit as prerequisite. This course examines cinematic depictions of artificial intelligence as well as recent developments in the use of A.I. in film production and within the film industry. Students will create short A.I.-generated films as part of the course.
SPAN 302W      : CONTENT: Spanish 302W is one of the foundational courses for the major and minor in Spanish. This course has a transatlantic and interdisciplinary approach and introduces students to the analysis of cultural texts (novel, poetry, art) in Spain and Latin America from the eighteenth century to the present. PREREQUISITE: SPAN 212 or Official Placement for a Foundational Course (Span 300-318) from the Department of Spanish and Portuguese. Take the Spanish Placement Exam at http://spanport.emory.edu/home/undergraduate/placement/index.html
DANC 350       : This course requires DANC 250 AND DANC 150 or equivalent transfer credit as a prerequisite.
FILM 499R      : Permission of the department required.
POLS 208       : QTM 100 or QTM_OX 100 or MATH_OX 117 or MATH_OX 117Q or QTM 220 or ECON 220 or ECON_OX 220 or POLS 310 or POLS 310W or ISOM 350 or BUS 350 or BUS_OX 350 or equivalent transfer credit as prerequisite.
SPAN 303       : (Same as LING 303 1) In this course (taught in Spanish), we will explore how diverse pronunciations are produced and organized by Spanish-speakers (including native/heritage and second-language speakers). As part of this, we will compare typical pronunciations of Spanish with those of English, and we will examine how different communities assign different social meanings and values to different pronunciations (for instance, why and in what circumstances do people value positively or negatively pronunciations such as "ello están contento" as opposed to "ellos están contentos"). This semester, we will include a component focusing on how different pronunciations and intonation can contribute to the performance of literary, theatrical and other spoken-language texts/events. TEXT: Tuten, D. N., Tejedo-Herrero, L. F., R. Rao, & H. R. Clarke. 2022. Pronunciaciones del español (Routledge). PARTICULARS: This course is designed for a wide variety of students, including those for whom Spanish is a primary/native or heritage language as well as for those who are learning Spanish as a second language. This is an introductory course in Hispanic Linguistics and therefore no background in Linguistics is required. Span/Ling 303 is a core course for the Spanish and Linguistics Joint Major and a Foundational Course for the Spanish Major and Minor. It counts as an elective or IC/HAL course for other Linguistics majors and minors. ***If SPAN 303 is at full capacity, please consider enrolling in LING 304, which will satisfy the same major requirements and the IC requirement.*** EVALUATION is based on attendance/participation, homework assignments, exams, and performance projects. PREREQUISITE: SPAN 212, permission of instructor or an Official Spanish Placement into our Foundational Course level (Span 300-318). For more information on Foundational Courses, please go to www.spanport.emory.edu. Take the online Spanish Placement Exam at http://spanport.emory.edu/home/undergraduate/placement/index.html.
DANC 360R      : This course requires DANC 350 AND DANC 250 AND DANC 150 or equivalent transfer credit as a prerequisite.
FIN 201        : This section is reserved for students in the Emory College Liberal Arts and Sciences program.
DANC 421R      : (Permission Required Prior to Enrollment) Please email mara.p.mandradjieff@emory.edu for a permission number. Permission of the department required.
SPAN 304       : (Same as LING 304 1) Dr. Deborah Tannen, a Distinguished University Professor of Linguistics at Georgetown, was once asked the following question: "Deborah, do you like your hair like that?" 1. Why don't we ask, "Your hair do like you like that?" 2. Does like have the same meaning in both uses? 3. Are the r's in "Deborah" and "hair" pronounced the same? 4. Who asked the question, and does it matter? Is the utterance really even a question? 5. How does our interpretation change if we know more about the tone of the utterance? The answers to these questions and others similar are what we'll explore in Span/ Ling 304, starting with a general history of the field of linguistics and what human communication entails before moving into detailed discussions of the production and organization of the sounds of Spanish (fonética y fonología); the formation, structure, and meanings of words (morfología); the structure and organization of sentences (sintaxis); analyses of meaning of words, sentences and conversations (semántica y pragmática); and examples of linguistic variation. TEXT: Hualde, José Ignacio, et. al. Introducción a la lingüística hispánica (2da edición). New York: Cambridge University Press, 2013. PARTICULARS: Because this is an introductory course to Hispanic linguistics, no previous study of Linguistics is required, but the course is taught in Spanish. Span/ Ling 304 is a core course of the Spanish & Linguistics Joint Major and a foundational course for the Spanish Major and Minor and the Major in Spanish and Portuguese. ***If SPAN 304 is at full capacity, please consider enrolling in LING 304, which will satisfy the same major requirements and the IC requirement.*** EVALUATION is based on active class participation, homework assignments, exams (two midterms and a final) and a project/ presentation due at the end of the semester. PREREQUISITE: SPAN 212, permission of instructor, or an Official Spanish Placement into our Foundational Course level (Span 300-318). For more information on Foundational Courses, please go to www.spanport.emory.edu. Take the online Spanish Placement Exam at http://spanport.emory.edu/home/undergraduate/placement/index.html
MUS 122        : MUS 121 as prerequisite or equivalent transfer credit. (Prerequisite: MUS 121)
DANC 424R      : (Permission Required Prior to Enrollment) Please email Tara Myers for a permission number: tshepa2@emory.edu. Permission of the department required.
SPAN 318       : This 300-level course is designed to equip advanced Spanish learners with the practical language skills and cultural understanding necessary to thrive in the global business environment and workplace. Moving beyond traditional textbook exercises, this course centers on experiential and project-based and practicum-based learning. Students will participate in mock simulations, conduct in-depth research on the economies and business practices of Spanish-speaking countries, and also develop their own professional portfolios relevant to their own fields. Through a comprehensive exploration of business practices, cultures, and the global economy, students will gain a robust foundation in the vocabulary and communication skills necessary for success in international business and cultural economics. This hands-on approach will provide tangible outcomes, preparing students for real-world professional scenarios. Course topics: International Markets, Real Estate, Business Management, Human Resources, International Cultural Economics & More. Prerequisite: SPAN 212 or an Official Spanish Placement into our Foundational Course level. Take the online Spanish Placement Exam at http://spanport.emory.edu/home/undergraduate/placement/index.html.
SPAN 330       : (Same as THEA 363 1) The objective of this course is the development of linguistic and cultural understanding in the context of theatrical performance. The course is both critical and experiential. Through close readings of texts, script analysis, memorization, development of character, writing assignments, and theatrical performance, students will develop a deeper understanding of Spanish language and Hispanic cultures through the perspectives of both disciplines, Hispanism and Theater Studies. This critical/interpretive dimension will be enriched at all stages of the course by the experiential dimension: the physical and vocal embodiment/performance of the target language and texts. Course taught in Spanish. Texts: readings will be made available on Canvas. Particulars: Class exercises will involve physical and vocal warm-ups and improvisation; assignments, including writing essays and reading plays, will include individual activities as well as activities requiring outside class preparation with partners. Prerequisite: SPAN 212 Interested students must contact Prof. Elva Gonzalez at egonza3@emory.edu or Prof. Mary Lynn Owen at mowen3@emory.edu. Permission of the department required.
DANC 454W      : (Same as WGS 454W 1) (This course is intended for junior and senior level students.)
DANC 491R      : This repertory course will be an opportunity for students to dive into the choreographic process, exploring tools for researching and making dances. Drawing from methods derived from post-modern dance and improvisation, and utilizing movement material borrowed from butoh, contemporary dance, and the individual movement lineages of participants, we as a class will create a repertory piece that will be performed at the Emory Dance Concert in April. (Permission Required Prior to Enrollment) Email Anne Walker, awalker@emory.edu, for a permission number. Students must have completed at least one semester of a level II dance technique class to enroll in this course. Permission of the department required.
SPAN 385       : This course listens to stories of pregnancy, birth, and abortion from contemporary Latin America. How do women negotiate cultural norms, legal structures, poverty, discrimination, and other barriers to make decisions for their lives, families, and health? How are these struggles depicted in novels, documentary films, journalism, activist publications, and other forms? Prerequisites: a Foundational Spanish Course or SPAN 217 (Spanish for Health Care).
FIN 320        : BBA or SPECSTUBUS students This section is reserved for students in the BBA program.
SPAN 413W      : (Same as LING 413W 1) This course provides a descriptive and critical overview of the linguistic practices of different Spanish-speaking communities in the United States, as well as a methodology for the study of these practices. Students will learn about the linguistics characteristics of the different Spanish varieties spoken by these communities, including phonetic, morphological, syntactic and lexical aspects. Special attention is given to the relationship between language and society, particularly on topics such as ethnic and cultural identity, multilingualism and language policy. The course also presents a theoretical and practical approach to the ethnographic research method. Students will read and analyze studies carried out by different scholars and will design their own research project on the topic of their preference. Special attention is given to ethical principles, for this reason students will need to complete the web-based Collaborative IRB Training Initiative (CITI) Program in the Protection of Human Subjects in Research. Background on general Linguistics is recommended, such as the one provided in Span/Ling 303, Span/Ling 304 or Ling 201.This course meets the sociocultural requirement of the Linguistics Major and can be used as one of the required 400-level courses for the Joint Major in Spanish & Linguistics or for the Major/Minor in Spanish. TEXTS: - El español de los Estados Unidos. Escobar, Anna María and Kim Potowski. Cambridge: Cambridge University Press. - Selection of articles available in Canvas. EVALUATION: Evaluation will be based in class participation, weekly assignments, one exam, one research project and five written practices. PRE-REQUISITES: One foundational course, preferably SPAN/LING 303 or SPAN/LING 304.
SPAN 421W      : (Same as LACS 421W 1) Once the world's leading producer of Spanish-language motion pictures and a competing alternative to Hollywood in Latin America, the Mexican film industry has undergone major transformations in distribution and exhibition networks, as well as in the regimes of film production and consumption, since the mid-1980s. This course will examine the evolving perceptions of the social function of film and shifting spectatorship practices from the Mexican Golden Age of Cinema (1930-1950) to the screen-viewing practices of our streaming age. PREREQUISITES: At least one Foundational Course (SPAN 300-318W)
FIN 321        : FIN 201 or [(ECON 101 or ECON_OX 101) and (ECON 112 or ECON_OX 112)] or SPECSTUBUS studentsor equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program.
HLTH 285       : In Critical Evaluation of Epi, we will explore peer-reviewed epidemiological studies. Through discussions, we will have the opportunity to evaluate the strengths and limitations of the studies. We will gain insights into the journey from results to real-world impact, learning how research shapes public health knowledge and practice, while honing the critical skill of critical thinking. (Prerequisite: HLTH 207) Special Note: HLTH 285 courses count differently within the majors/minors; they are not all equivalent. Please pay close attention to the exact course title and categories that specific title counts in, which you can find on our requirements sheets and course summary sheets. If you have any questions, please reach out to CSHH administration.
SPAN 424       : Description: With the return to democracy in 1975, Spaniards gained the freedom to debate human rights questions in the press, television, literature, film, and the public sphere of digital social media. How is human rights discourse represented in Spanish culture? Conversely, how can this cultural production impact human rights policy? In exploring Spain's standing within the framework of European and international human rights theory and law, this course focuses on issues in the human rights arena that have gained prominence in contemporary Spanish society, including immigration and race; gender and sexuality; domestic and global terrorism. In their final projects students may explore these topics or pursue additional avenues of interest (for instance, language rights; children's rights; environmental rights, etc.). The course will feature guest speakers and a visit to Atlanta's National Center for Civil and Human Rights. Texts: Will include examples of numerous genres, including journalism, literature (novels, short stories, poetry, memoirs), film, popular music, and social media. Background readings will provide an overview of the polemics surrounding humanitarian ethics in the age of globalization. Evaluation: Active participation in class discussions; short written assignments; film review; final research project. Prerequisites: At least one foundational course for the Spanish major or minor (SPAN 300-318); or one 400-level Spanish course. There may be exceptions to this. Students without these prerequisites should consult with the instructor.
SPAN 485       : (Same as LACS 490R 1) This course explores the intersection of patriarchy, racism, and violence in 21st-century Latin American film. Students will examine how various family formats are portrayed on film, and to what extent they construe, challenge, and/or otherwise reproduce influential concepts (such as care, work, motherhood, childhood, decency, masculinity, or promiscuity) across gender, racial, and/or class-based lines. In examining these issues, we will look at how People of Color, Women, Children, and members of the LGBTQ+ collective bear the brunt of abuse and generalized violence brought against them due to the sheer fact that they dare to exist. We will also explore the concept of patriarchy paying attention to the many traits that turn masculinity in particular, and cisheteronormativity in general, (as well as subtle forms of white supremacy-ism) into vigilance vectors bent on building "the normal". In analyzing narrative depictions that address the aforementioned forms of inequality, the class will discuss to what extent State-sponsored forms of violence manufacture hegemony, neutralizing and destroying any detectable "deviance" from a desideratum for docile and malleable citizens that remains under constant (de)construction. EVALUATION: Participation in class, written critical responses, an oral presentation, and a final research essay. PREREQUISITE: At least one foundational course (SPAN 300-318W) or permission from the instructor.
FIN 322        : FIN 220 or FIN 320 or SPECSTUBUS students or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program.
MUS 222        : This course requires MUS 221 or equivalent transfer credit as a prerequisite. (Pre-Requisite MUS 221)
SPAN 485W      : (Same as LACS 490RW 1) In this class we ask: what exactly are "borders," "borderlands," and "border spaces"? How do they function? How can we understand the Mexico-U.S. frontera/border within both historical and contemporary contexts? How does that border inflect other "border spaces" far away from its geography, including spaces in Atlanta? The course looks at how the stories of these borders are shaped and then re-told, in written and visual texts. The course is taught primarily in Spanish while also integrating the multi-lingual nature of border stories. We will partner with the Latin American Association, whose building on Buford Highway can be described as a border space, and we will engage with a visiting artist, Yehimi Cambrón. You will complete a collaborative project that supports the Latin American Association's work and provides a framework for you to actively reflect on the integration of the humanistic inquiry (like this course) in your own future work. PREREQUISITES: At least one Foundational Course (SPAN 300 - 318W), or one 400-level Spanish course, or permission from the instructor.
HLTH 306       : ECON 220 or ECON_OX 220 or HLTH 207 or MATH_OX 117Q or QTM 100 or QTM_OX 100 or equivalent transfer credit as prerequisite. This course introduces students to key concepts in health research. It uses didactic and applied training to develop competency in research methods, both quantitative and qualitative. The course introduces the basic steps, methods and strategies of the research process; problem identification, hypothesis development, literature review, research design and methodology, data management, data analysis, and scientific communication. Its aim is to help students design and develop a thoughtful, persuasive, and potentially fundable scientific research proposal that addresses a health concern. Students begin with a broad health topic that they would like to investigate and learn how to narrow it down into a specific and feasible research question; then they learn how to design a methodology to address the question. In addition to comprehending and developing the elements of a research project, students also learn the principles of ethical conduct of research, essentials of scientific writing, as well as presentation skills. Students also learn how to conduct a literature review, how to evaluate the literature, and how to use a reference management software. (Prerequisites can be any one of the following: HLTH 207, OR QTM100, OR MATH_OX 117Q, OR ECON 220 - If any issues enrolling with one of these prerequisites, please contact Savvy.Mcleod@emory.edu)
FIN 382        : This section is reserved for students in the BBA program.
HLTH 321       : HLTH 220 or HLTH 221 or equivalent transfer credit as prerequisite. An individual's nutrient and energy requirements change over the life span. This course will explore the nutritional foundations of growth, development, and normal functioning in each stage of the life span, from pre-pregnancy to older age. We will examine the physiological and developmental basis for changing nutrient requirements over each stage and consider evidence-based age- and life stage-specific dietary recommendations to prevent nutrient deficiencies, promote health, and prevent disease. Sociological influences across the lifespan will also be considered. (Prerequisite: HLTH 220)
BIOL 247       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. (Same as ENVS 247 1) (This course provides a broad overview of ecology, ranging from evolutionary ecology to ecosystems ecology. The emphasis of the course is on data interpretation and experimental design in the context of the ecological concepts we are discussing. Students will work in small groups on applying basic ecological principles to data interpretation and experimental design. This course will fulfill the Column C requirement (or elective credit) for the Biology major. There will be three exams plus a cumulative final exam. Students will also be evaluated on class discussions. A separate, optional, 3 credit hour laboratory (Biology 247LW/ENVS 247LW) is associated with this course (in fall semester). (The lab is not required)
MATH 315       : (MATH 221 or MATH_OX 221 or MATH 275 or MATH 321) and (CS 170 or CS_OX 170 or MATH 170) or equivalent transfer credit as a prerequisite.
ECON 212       : (ECON 101 or ECON_OX 101 or FIN 201) and (ECON 112 or ECON_OX 112) and (MATH 111 or MATH_OX 111 or MATH 116) or equivalent transfer credit as prerequisites.
BIOL 250       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. This course covers advanced topics on the structure and function of cells at the molecular level. Topics include the relationship between structure and function, integration of cellular functions, compartmentalization of cellular functions, nuclear and cytoplasmic interactions, and intracellular and intercellular communications. This course fulfills the Column A requirement (or elective credit) for the biology major.
MATH 321       : MATH 250 or MATH_OX 250 or MATH_OX 250Q or MATH 276 or equivalent transfer credit as prerequisite.
JPN 102        : JPN 101 or equivalent transfer credit as prerequisite.
ECON 215       : ECON 101 or ECON_OX 101 or FIN 201 or equivalent transfer credit as a prerequisite. This class is being co-taught by Jeffrey Eisentein. You can view their LinkedIn profile here: https://www.linkedin.com/in/jeff-e-a793294/
MATH 330       : (MATH 221 or MATH_OX 221 or MATH 275 or MATH 321) and (MATH 250 or MATH_OX 250 or MATH 276) or equivalent transfer credit as prerequisite.
JPN 202        : JPN 201 or equivalent transfer credit as prerequisite.
BIOL 264       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. (Students must also register for a BIOL 264-1 Discussion Section. This course will provide a fundamental understanding of human genetics and builds on the concepts of genetics developed in Biology 142. Topics include modern analysis of the human genome, epigenetics, and cancer. This course is designed to provide a deep understanding of modern genetics as well as to foster critical thinking and analytical skills through problem solving and analysis of the primary scientific literature. The main focus of the course will be on molecular genetics, but we will also cover fundamental principles of classical genetics and population genetics. Course topics will be explored with special emphasis on how modern genetic research is changing the face of both medicine and agriculture. There will be three in-class exams and a final project. Discussion section grades will be based on student participation. This course fulfills the Column A (or elective) requirement for the Biology major.) Prerequisites: Biology 142 + 142L.
MATH 344       : (MATH 211 or PHYS 211 or MATH_OX 211 or MATH 276) and (MATH 221 or MATH_OX 221 or MATH 321) and (MATH 250 or MATH_OX 250 or MATH 276) or equivalent transfer credit as prerequisite.
PHYS 117       : PHYS 115 or PHYS 116 or ASTR_OX 116 or equivalent transfer credit as prerequisite.
BIOL 285       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Full Title: Phage Genomics + Intro to Bioinformatics LAB. Permission of instructor is required. Students currently enrolled in BIOL 386W (Phage Discovery LAB) in Fall 2025 have priority for this course and should contact Tonya Woolcock at tdavis6@emory.edu to request a permission number. This course is based on the SEA-PHAGES curriculum. Prior participation in the Phage Discovery wet lab is encouraged but not required. Students who have taken both semesters of the course will have the option to present their results at the SEA-PHAGES annual student symposium. In the SEA-PHAGES bioinformatics semester (GENOMES), students will learn basic principles of genomics and bioinformatics through exploration of bacteriophage genomes. Our first goal as a class (first half of the semester) is to produce the highest possible quality bacteriophage genome annotation for a phage using DNA MASTER, then contribute the final annotated genome sequence to a global database. The second half of the semester will introduce the basics of coding and sequence analysis in Python. Prerequisites: Biology 142 + 142L. Permission of the department required.
JPN 302        : JPN 301 or equivalent transfer credit as prerequisite.
MATH 346       : (MATH 221 or MATH_OX 221 or MATH 275 or MATH 321) and (CS 170 or CS_OX 170 or MATH 170) or equivalent transfer credit as a prerequisite. CS and Math 170 waived. Please contact Math Registration for permission code (math-registration@listserv.cc.emory.edu).
ECON 220       : (ECON 101 or ECON_OX 101 or FIN 201) and (MATH 111 or MATH_OX 111 or MATH 112 or MATH_OX 112 or MATH 112Z or MATH_OX 112Z or MATH 116) or equivalent transfer credit as prerequisite.
JPN 351        : JPN 202 or equivalent transfer credit as prerequisite.
ECON 231       : ECON 101 or ECON_OX 101 or FIN 201 or equivalent transfer credit as a prerequisite.
BIOL 301       : [(BIOL 142 and BIOL 142L) or (BIOL_OX 142)] and (CHEM 203 or CHEM 203Z or CHEM_OX 203 or CHEM 221 or CHEM_OX 221 or CHEM 221Z) or equivalent transfer credit as prerequisite. The cell is an amazing network of self-organizing machinery that drives life in all its forms. This course begins by defining the molecular wheels and cogs of the cell's machines and how their capabilities are defined by their chemistries. The chemistries of each component are then explored to understand how they contribute to the operation and control of the cellular machinery. We will further explore how all of the cellular components are governed, by kinetic and non-kinetic controls, to produce a coherent and responsive metabolism that efficiently creates and utilizes the energy stored in chemical compounds, such as glucose and fats. Human metabolic disorders such as diabetes will provide models of how metabolism is controlled at the systematic level in complex organisms using biochemical signaling pathways to coordinate metabolic pathways in different tissues. This course will fulfill elective credit for the Biology major and should provide students with a firm foundation in Biochemistry.
MATH 351       : (MATH 211 or MATH_OX 211 or MATH 276) and (MATH 212 or MATH_OX 212) and (MATH 221 or MATH_OX 221 or MATH 275 or MATH 321) or equivalent transfer credit as prerequisite.
JPN 402        : JPN 401 or JPN 401W or equivalent transfer credit as prerequisite.
MATH 362       : This course requires MATH 361 or equivalent transfer credit as a prerequisite.
BIOL 336       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. This course is a study of human physiology emphasizing homeostatic mechanisms of integrated body functions. Topics covered in this class include cellular communication, endocrinology, neurophysiology, muscle physiology, circulation, respiration, and renal physiology. Prerequisites: Biology 142 and 142L. This course may be taken as elective credit for the Biology major.
ECON 312       : (ECON 101 or ECON_OX 101 or FIN 201) and (ECON 112 or ECON_OX 112) or equivalent transfer credit as prerequisite.
ECON 315       : This course requires ECON _OX 100 or ECON 101 or ECON_OX 101 or FIN 201 AND ECON 112 or ECON_OX112 or equivalent transfer credit as a prerequisite.
MATH 412       : This course requires MATH 411 or equivalent transfer credit as a prerequisite.
BIOL 351       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Students must also enroll in a BIOL 351 Discussion Section. The basic principles of immunology, the causes of pathogenesis during the course of infection with microparasites, and the limitations to the understanding of infectious diseases (such as HIV/AIDS, tuberculosis, and malaria) caused by viruses, bacteria, and unicellular eukaryotes. This course will fulfill elective credit for the Biology major. Prerequisites: Biology 142 + 142L.
BIOL 352       : [(BIOL 142 or BIOL_OX 142) and BIOL 264] or equivalent transfer credit as prerequisite. Epigenetics is the study of heritable characteristics not caused by changes in DNA sequence, but rather induced by non-genetic factors that alter gene expression and are dependent on time and location. The course explores epigenetics and its relation to normal development and disease. This course may be taken as elective credit for the Biology major. Prerequisites: Biology 142, 142L, and 264.
MATH 422       : This course requires MATH 421 or equivalent transfer credit as a prerequisite.
PHYS 142       : This course requires PHYS 141 OR PHYS_OX 141 OR PHYS 151 OR PHYS_OX 151 or equivalent transfer credit as a prerequisite.
BIOL 360       : [(BIOL 142 and BIOL 142L) or BIOL_OX 142] and (CHEM 142 or CHEM_OX 142 or CHEM 202 or CHEM_OX 202 or CHEM 202Z) or equivalent transfer credit as prerequisite. (Same as NBB 301 1)
MATH 425       : (MATH 211 or MATH_OX 211 or MATH 276) and (ECON 201 or ECON_OX 201) or equivalent transfer credit as prerequisite. (Same as ECON 425 1) (Students, please copy and paste this link in your browser to complete the enrollment request form: https://forms.office.com/r/wGAcyuzHsG ) (Permission codes will be sent out during Add/Drop/Swap. For enrollment in ECON 425, please contact Erica Bowersox (erica.blake.bowersox@emory.edu). For enrollment in Math 425, please contact Taylr Tuggle (tatuggl@emory.edu) in Math.) Permission of the department required.
BIOL 360L      : [(BIOL 142 and BIOl 142L) or BIOL_OX142] and (BIOL 360 or NBB 301) or equivalent transfer credit as a prerequisite. (Same as NBB 301L 1) (Topic: Neural Data Simulation & Analysis Lab). Students who were on the BIOL 360L/NBB 301 wait list in Fall 2025 AND Spring 2026 graduating senior Biology majors who need to fulfill their upper-level lab requirement have priority for this class. Contact Barbara Shannon at barbara.shannon@emory.edu for permission. Through this course, you will learn basic computational and programming skills and apply them to the simulation and analysis of neural data. Course instructors will provide introductory lessons on basic coding in Python, which will be used throughout the course through collaborative, group-based lab tutorials. The focus of this course will be to use these in-lab tutorials to understand how neuroscience data is structured, analyzed, simulated, and interpreted. The course will be divided into 2 portions: (1) coding, running, and interpreting simulations of neural activity, and (2) understanding the analysis of neural data. The course consists of lectures, group lab tutorials, and individual homework assignments for each module. This course originates in the Biology Department, and it will count as an elective and upper-level laboratory credit for the Biology major. (This course does NOT COUNT as elective credit for the NBB major; the catalog description is incorrect.) Prerequisites: Biology 142/142L and Chemistry 202; pre- or co-requisite: Biology 360/NBB 301). Permission of the department required.
ECON 320       : (ECON 101 or ECON_OX 101 or BUS 201) and (ECON 112 or ECON_OX 112) and (ECON 220 or ECON_OX 220 or MATH 207 or MATH_OX 207 or MATH 361 or MATH 362) or equivalent transfer credit as a prerequisite.
ECON 350       : ECON 101 or ECON_OX 101 or FIN 201 or equivalent transfer credit as prerequisite.
BIOL 364       : BIOL 264 or BIOL_OX 264 or equivalent transfer credit as prerequisite. This course will examine the concepts and experimental methods used to understand genomes. The questions explored will include: How are genomes structured? How do they function inside cells? How do they vary between individuals? And how does this variation contribute to differences in disease risk?". This course may be taken as elective credit for the Biology major. Prerequisites: Biology 142, 142L, and 264. Students must also enroll in the discussion section.
