HIST 498R      : (Permission Required Prior to Enrollment) Permission of the department required
SPAN 421W      : (Same as LACS 421W 1) Once the world's leading producer of Spanish-language motion pictures and a competing alternative to Hollywood in Latin America, the Mexican film industry has undergone major transformations in distribution and exhibition networks, as well as in the regimes of film production and consumption, since the mid-1980s. This course will examine the evolving perceptions of the social function of film and shifting spectatorship practices from the Mexican Golden Age of Cinema (1930-1950) to the screen-viewing practices of our streaming age. PREREQUISITES: At least one Foundational Course (SPAN 300-318W)
FIN 321        : FIN 201 or ((ECON 101 or ECON_OX 101) and (ECON 112 or ECON_OX 112)) or SPECSTUBUS studentsor equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
HLTH 285       : (Prerequisite: HLTH 207) Special Note: HLTH 285 courses count differently within the majors/minors; they are not all equivalent. If you have any questions, please reach out to CSHH administration
SPAN 424       : Description: With the return to democracy in 1975, Spaniards gained the freedom to debate human rights questions in the press, television, literature, film, and the public sphere of digital social media. Prerequisites: At least one foundational course for the Spanish major or minor (SPAN 300-318); or one 400-level Spanish course. Students without these prerequisites should consult with the instructor
SPAN 485       : (Same as LACS 490R 1) This course explores the intersection of patriarchy, racism, and violence in 21st-century Latin American film. In examining these issues, we will look at how People of Color, Women, Children, and members of the LGBTQ+ collective bear the brunt of abuse and generalized violence brought against them due to the sheer fact that they dare to exist. EVALUATION: Participation in class, written critical responses, an oral presentation, and a final research essay. PREREQUISITE: At least one foundational course (SPAN 300-318W) or permission from the instructor
FIN 322        : FIN 220 or FIN 320 or SPECSTUBUS students or equivalent transfer credit as prerequisite. This section is reserved for students in the BBA program
MUS 222        : MUS 221 or equivalent transfer credit as a prerequisite. (Pre-Requisite MUS 221)
SPAN 485W      : (Same as LACS 490RW 1) In this class we ask: what exactly are "borders," "borderlands," and "border spaces"? How do they function? How can we understand the Mexico-U. PREREQUISITES: At least one Foundational Course (SPAN 300 - 318W), or one 400-level Spanish course, or permission from the instructor
HLTH 306       : ECON 220 or ECON_OX 220 or HLTH 207 or MATH_OX 117Q or QTM 100 or QTM_OX 100 or equivalent transfer credit as prerequisite. (Prerequisites can be any one of the following: HLTH 207, OR QTM100, OR MATH_OX 117Q, OR ECON 220 - If any issues enrolling with one of these prerequisites, please contact Savvy
FIN 382        : This section is reserved for students in the BBA program
HLTH 321       : HLTH 220 or HLTH 221 or equivalent transfer credit as prerequisite. (Prerequisite: HLTH 220)
BIOL 247       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. (Same as ENVS 247 1) (This course provides a broad overview of ecology, ranging from evolutionary ecology to ecosystems ecology. A separate, optional, 3 credit hour laboratory (Biology 247LW/ENVS 247LW) is associated with this course (in fall semester)
MATH 315       : (MATH 221 or MATH_OX 221 or MATH 275 or MATH 321) and (CS 170 or CS_OX 170 or MATH 170) or equivalent transfer credit
ECON 212       : (ECON 101 or ECON_OX 101 or FIN 201) and (ECON 112 or ECON_OX 112) and (MATH 111 or MATH_OX 111 or MATH 116) or equivalent transfer credit
BIOL 250       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit
MATH 321       : MATH 250 or MATH_OX 250 or MATH_OX 250Q or MATH 276 or equivalent transfer credit
JPN 102        : JPN 101 or equivalent transfer credit
ECON 215       : ECON 101 or ECON_OX 101 or FIN 201 or equivalent transfer credit
MATH 330       : (MATH 221 or MATH_OX 221 or MATH 275 or MATH 321) and (MATH 250 or MATH_OX 250 or MATH 276) or equivalent transfer credit
JPN 202        : JPN 201 or equivalent transfer credit
BIOL 264       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. (Students must also register for a BIOL 264-1 Discussion Section. This course will provide a fundamental understanding of human genetics and builds on the concepts of genetics developed in Biology 142. ) Prerequisites: Biology 142 + 142L
MATH 344       : (MATH 211 or PHYS 211 or MATH_OX 211 or MATH 276) and (MATH 221 or MATH_OX 221 or MATH 321) and (MATH 250 or MATH_OX 250 or MATH 276) or equivalent transfer credit
PHYS 117       : PHYS 115 or PHYS 116 or ASTR_OX 116 or equivalent transfer credit
BIOL 285       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Full Title: Phage Genomics + Intro to Bioinformatics LAB. Permission of instructor is required. Students currently enrolled in BIOL 386W (Phage Discovery LAB) in Fall 2025 have priority for this course and should contact Tonya Woolcock at tdavis6@emory. edu to request a permission number. This course is based on the SEA-PHAGES curriculum. Students who have taken both semesters of the course will have the option to present their results at the SEA-PHAGES annual student symposium. In the SEA-PHAGES bioinformatics semester (GENOMES), students will learn basic principles of genomics and bioinformatics through exploration of bacteriophage genomes. Our first goal as a class (first half of the semester) is to produce the highest possible quality bacteriophage genome annotation for a phage using DNA MASTER, then contribute the final annotated genome sequence to a global database. Prerequisites: Biology 142 + 142L. Permission of the department required
JPN 302        : JPN 301 or equivalent transfer credit
MATH 346       : (MATH 221 or MATH_OX 221 or MATH 275 or MATH 321) and (CS 170 or CS_OX 170 or MATH 170) or equivalent transfer credit as a prerequisite. CS and Math 170 waived. Please contact Math Registration for permission code (math-registration@listserv
ECON 220       : (ECON 101 or ECON_OX 101 or FIN 201) and (MATH 111 or MATH_OX 111 or MATH 112 or MATH_OX 112 or MATH 112Z or MATH_OX 112Z or MATH 116) or equivalent transfer credit
JPN 351        : JPN 202 or equivalent transfer credit
ECON 231       : ECON 101 or ECON_OX 101 or FIN 201 or equivalent transfer credit
BIOL 301       : ((BIOL 142 and BIOL 142L) or (BIOL_OX 142)) and (CHEM 203 or CHEM 203Z or CHEM_OX 203 or CHEM 221 or CHEM_OX 221 or CHEM 221Z) or equivalent transfer credit
MATH 351       : (MATH 211 or MATH_OX 211 or MATH 276) and (MATH 212 or MATH_OX 212) and (MATH 221 or MATH_OX 221 or MATH 275 or MATH 321) or equivalent transfer credit
JPN 402        : JPN 401 or JPN 401W or equivalent transfer credit
MATH 362       : MATH 361 or equivalent transfer credit
BIOL 336       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Prerequisites: Biology 142 and 142L
ECON 312       : (ECON 101 or ECON_OX 101 or FIN 201) and (ECON 112 or ECON_OX 112) or equivalent transfer credit
ECON 315       : ECON _OX 100 or ECON 101 or ECON_OX 101 or FIN 201 AND ECON 112 or ECON_OX112 or equivalent transfer credit
MATH 412       : MATH 411 or equivalent transfer credit
BIOL 351       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Students must also enroll in a BIOL 351 Discussion Section. The basic principles of immunology, the causes of pathogenesis during the course of infection with microparasites, and the limitations to the understanding of infectious diseases (such as HIV/AIDS, tuberculosis, and malaria) caused by viruses, bacteria, and unicellular eukaryotes. Prerequisites: Biology 142 + 142L
BIOL 352       : ((BIOL 142 or BIOL_OX 142) and BIOL 264) or equivalent transfer credit as prerequisite. Epigenetics is the study of heritable characteristics not caused by changes in DNA sequence, but rather induced by non-genetic factors that alter gene expression and are dependent on time and location. Prerequisites: Biology 142, 142L, and 264
MATH 422       : MATH 421 or equivalent transfer credit
PHYS 142       : PHYS 141 OR PHYS_OX 141 OR PHYS 151 OR PHYS_OX 151 or equivalent transfer credit
BIOL 360       : ((BIOL 142 and BIOL 142L) or BIOL_OX 142) and (CHEM 142 or CHEM_OX 142 or CHEM 202 or CHEM_OX 202 or CHEM 202Z) or equivalent transfer credit as prerequisite. (Same as NBB 301 1)
MATH 425       : (MATH 211 or MATH_OX 211 or MATH 276) and (ECON 201 or ECON_OX 201) or equivalent transfer credit as prerequisite. (Same as ECON 425 1) (Students, please copy and paste this link in your browser to complete the enrollment request form: https://forms. com/r/wGAcyuzHsG ) (Permission codes will be sent out during Add/Drop/Swap. For enrollment in ECON 425, please contact Erica Bowersox (erica. For enrollment in Math 425, please contact Taylr Tuggle (tatuggl@emory. ) Permission of the department required
BIOL 360L      : ((BIOL 142 and BIOl 142L) or BIOL_OX142) and (BIOL 360 or NBB 301) or equivalent transfer credit as a prerequisite. (Same as NBB 301L 1) (Topic: Neural Data Simulation & Analysis Lab). Students who were on the BIOL 360L/NBB 301 wait list in Fall 2025 AND Spring 2026 graduating senior Biology majors who need to fulfill their upper-level lab requirement have priority for this class. edu for permission. (This course does NOT COUNT as elective credit for the NBB major; the catalog description is incorrect. ) Prerequisites: Biology 142/142L and Chemistry 202; pre- or co-requisite: Biology 360/NBB 301). Permission of the department required
ECON 320       : (ECON 101 or ECON_OX 101 or BUS 201) and (ECON 112 or ECON_OX 112) and (ECON 220 or ECON_OX 220 or MATH 207 or MATH_OX 207 or MATH 361 or MATH 362) or equivalent transfer credit
ECON 350       : ECON 101 or ECON_OX 101 or FIN 201 or equivalent transfer credit
BIOL 364       : BIOL 264 or BIOL_OX 264 or equivalent transfer credit as prerequisite. Prerequisites: Biology 142, 142L, and 264
PHYS 152       : (PHYS 141 or PHYS_OX 141 or PHYS 151 or PHYS_OX 151) and (MATH 112 or MATH_OX 112 or MATH 116 or MATH 210) or equivalent transfer credit
PSYC 333       : PSYC 110 or PSYC_OX 110 or PSYC 111 or PSYC_OX 111 or equivalent transfer credit as prerequisite. Prior completion of PSYC 110 or PSYC 111 or AP/IB credit in psychology
FREN 102       : FREN 102 Elementary French II (JF Lopez Cochachi / Mondays and Wednesdays 10:00AM-11:15AM; F 10:00-10:50AM online synchronous) ***NOTE: This course has "tiered enrollment" (certain number of seats available for each class). Please note: FREN 102 is open to students who have had some French (FREN 101 or up to two years in high school)
PSYC 352       : QTM 100 or QTM_OX 100 or ECON 220 or ECON_OX 220 or ISOM 350 or POLS 310 or POLS 310W or MATH_OX 117 or equivalent transfer credit as prerequisite. Textbook: Behavioral Genetics / Edition 7; Publication Date:10/02/2016; Publisher: Worth by Valerie S
FREN 201       : FREN 201 Intermediate French I (Prof. Required Textbooks, Articles, and Resources: Champeny, Séverine, "IMAGINEZ: le français sans frontières, 5th Edition". Vista Higher Learning, 2020. ISBN: 978-1-54330-546-3. May be purchased via the VHL website or Emory bookstore. Additional Resources: 'IMAGINEZ' Supersite, vhlcentral. com, and Student Activities Manual Course Requisites FREN 102 as prerequisite, or by placement exam
NBB 495BW      : Wednesday only Permission of the department required
ARTHIST 190    : Maps: Finding Our Place in the World (Freshmen Seminar - Limited to First Year Students Only) In this first-year seminar, we will investigate maps and mapmaking in order to think about what maps are, how they are made, and how they operate in different times and place
PSYC 424       : Open to Seniors and juniors ONLY. Prior completion of PSYC 110, 111, or AP/IB credit in psychology, QTM 100 and PSYC 200W. Permission of the instructor is required. For permission, please contact Dr. Permission of the department required
FREN 203       : FREN 203 Intermediate French II (Prof. Vincent Bornert / MW 1:00-2:15PM; F 1:00-1:50PM online synchronous). Content: In French 203, students develop interpretive strategies and review and practice grammatical forms in the context of authentic literary and cultural texts. French 203 counts towards the minor in French but not the major. Required Textbooks, Articles, and Resources: Required: Dãfi Francophone 2: 6 month My French H (ISBN 9788419072733); Optional: Dãfi Francophone 2: Student Bundle 12 month (ISBN 9788419072764. Course Requisites FREN 201 as prerequisite, or by placement exam
PSYC 430       : Prior completion of QTM 100 and PSYC 200W. For permission, please e-mail the instructor. Permission of the department required
ARTHIST 203    : Because they can only exist in drawings, they are often referred to as "paper architecture. " But these unbuildable designs perform important roles that built ones cannot. For permission contact instructor: andre. edu Architectural Studies minor: elective or makers Art History major/minor: makers & materials course Permission of the department required
WGS 454W       : (Same as DANC 454W 1) (This course is intended for junior and senior level student
FREN 310W      : FREN 310W The Art of Writing / L'art de l'écriture (L. ISBN: 9780357658901; 2. Bescherelle (recommended / FRENCH Edition). Course Requisites: FREN 203 or by placement exam
PSYC 471R      : (Complete Topic: Conceptual Foundations of Functional Neuroimaging) (Juniors and seniors only. ) ( Prior completion of PSYC 110, OR 111, OR AP credit in psychology AND PSYC 200W
ENGRD 219      : (Permission Required Prior to Enrollment) Gateway: Portfolio This course serves as an introduction to the Rhetoric, Writing, and Information Design minor, in which you will begin to create the writing portfolio that will be developed further in more advanced courses across the minor. Permission of the department required
PHIL 200W      : One PHIL course or equivalent transfer credit as prerequisite. Permission of the department required
FREN 314       : FREN 310 or equivalent transfer credit
CHEM 202       : CHEM 141 or CHEM_OX 141 or CHEM 150 or CHEM_OX 150 or equivalent transfer credit
WGS 495BW      : (Permission Required Prior to Enrollment)
PHIL 220W      : One PHIL course or equivalent transfer credit as prerequisite. This course is restricted to PPL majors. Permission of the department required
ENGRD 221RW    : This is an English Language Learner (ELL) course. edu) for permission to enroll. Permission of the department required
IDS 205W       : 
FREN 351       : FREN 310 or FREN_OX 310 and FREN 314 or FREN_OX 314 or equivalent transfer credit as prerequisite. FREN 351: Media and Genres: Autofiction / Vivre l'autofiction (Prof. Content: While personal narratives that blend fact and fiction existed well before the term autofiction was coined in 1977, in this course we will consider the reasons why this genre has become ubiquitous in French and Francophone cultural and literary spheres of the 20th and 21st centurie
CHEM 202L      : CHEM 141 or CHEM_OX 141 or CHEM 150L or CHEM_OX 150L as a prerequisite and CHEM 202 or CHEM_OX 202 as a corequisite
PHIL 300       : This course is restricted to PPL majors. Permission of the department required
ENGRD 224R     : This is an English Language Learner (ELL) course. edu) for permission to enroll. Permission of the department required
PSYC 495BW     : Pre-requisite: PSYC 495A. Permission is required for enrollment. Permission of the department required
CHEM 203       : CHEM 202 or CHEM_OX 202 or CHEM 202Z or CHEM 221 or CHEM_OX 221 or equivalent transfer credit as prerequisite. This course is NOT intended for students who took Chem 202Z in fall 2024; those students should take Chem 203Z
FREN 391R      : FREN 310 or FREN_OX 310 and FREN 314 or FREN_OX 314 or equivalent transfer credit as prerequisite. (Same as AFS 389 5) FREN 391R: Interdisciplinary Arts as Healing Practice (Prof. Content: As Fabienne Kanor reflects in an interview: "J'ai mal à mon histoire et la réécrire est le seul moyen que j'ai trouvé pour guérir un peu" ("My history hurts me, and rewriting it is the only way I have found to heal a little"). You'll collaborate with visiting artist TIE on her project "Odyssey in Black Utero," exploring how art creates healing pathways between past and future. Texts may include: Fabienne Kanor, Humus (excerpts) Léonora Miano, La saison de lOmbre Nadia Chonville, Mon coeur bat vite Maryse Condé, Moi, Tituba sorcière de Salem (excerpts) Alice Diop, Saint-Omer (film) Mati Diop, Atlantics (film) Alain Gomis, Félicité (film) Jean-Pierre Bekolo, Les Saignantes (film) Eva Doumbia, Autophagies (Theater) TIE, Odyssey in Black Utero (collaborative project)
PSYC 498R      : Permission Required Prior to Enrollment) Psychology majors only. Students are required to complete a PSYC 498R/499R Contract with a faculty member. Permission of the department required
CHEM 203Z      : CHEM 202Z or equivalent transfer credit as prerequisite. This course is only intended for students who completed CHEM 202Z/202ZL in the fall
FREN 488W      : FREN 310, FREN 314 and two 300 level FREN courses, or equivalent transfer credit as prerequisite. FREN 488. Special attention will be given to the way psychoanalysis addresses the issue of trauma not only at the individual level but also at the collective level: transgenerational transmission of historical trauma
CHEM 203ZL     : CHEM 202ZL as prerequisite and CHEM 203Z as co-requisite or equivalent transfer credit. This course is only intended for students who are taking Chem 203z concurrently
BIOL 368L      : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as prerequisites. In this LAB course you will learn techniques with practical applications in biotechnology related to gene cloning, protein expression in prokaryotic and eukaryotic systems, and recombinant protein purification. Prerequisites: Biology 142 + 142L
ECON 385       : ECON _OX 100 or ECON 101 or ECON_OX 101 or FIN 201 AND ECON 112 or ECON_OX112 or equivalent transfer credit
HIST 210       : In this iteration of HIST 210, taught by Professor Chris Suh, Unit 2 will focus on the topics of citizenship, civil rights, and precarity in the United States from the late 19th century to the present
BIOL 370       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Students must also register for and attend a BIOL 370 Discussion Section. There is an optional 2-credit laboratory (BIOL 370L) associated with this course. Prerequisites: Biology 142 + 142L
CS 171         : CS 170 OR CS_OX 170 or equivalent transfer credit
CS 211         : (MATH 111 or MATH_OX 111 or QTM 100 or QTM_OX 100) and (CS 110 or CS 170 or CS_OX 170) or equivalent transfer credit
PHYS 212       : (PHYS 151 or PHYS_OX 151) or ((PHYS 141 or PHYS_OX 141) and (MATH 112 or MATH 112Z or MATH_OX 112 or MATH_OX 112Z0) or ((PHYS 141 or PHYS_OX 141) and MATH 116)) or equivalent transfer credit as prerequisite. (Same as BIOL 212 1)
BIOL 370L      : ((BIOL 142 and BIOL 142L) or BIOL_OX142 or BIOL 152) and BIOL 370 or equivalent transfer credit as a prerequisite. This is the 2-credit hour OPTIONAL laboratory to accompany Biology 370 (Introduction to Microbiology) and will introduce students to some of the basic techniques used in the study of physiology, biochemistry, and genetics of microorganisms. This course will fulfill two (2) hours of elective credit AND the upper-level lab requirement for the Biology major. Prerequisites: Biology 142 + 142L; pre- or co-requisite: Biology 370. (BIOL 370LW will no longer be offered
ECON 410W      : (ECON 201 or ECON_OX 201) and (ECON 212 or ECON_OX 212) or equivalent transfer credit
CS 224         : (CS 170 or CS_OX 170) and (MATH 111 or MATH_OX 111) or equivalent transfer credit
PHYS 222       : (PHYS 142 or PHYS_OX 142 or PHYS 152 or PHYS_OX 152) and (MATH 112 or MATH_OX 112 or MATH 112Z or MATH 116) and (CHEM 205 or CHEM_OX 205 or CHEM 331 or PHYS 253 or PHYS_OX 253) or equivalent transfer credit
BIOL 371       : ENVS 120 or ENVS 130 or ENVS 131 or ENVS_OX 131 or ENVS 140 or (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as prerequisite. (Same as ENVS 371 1) This 2-credit hour lecture course will explore the diverse biomes of the tropics. Prerequisites: Biology 142 and Biology 142L (for Biology 371). Larry Wilson (adjunct faculty), is SHARED by the Biology and Environmental Science Departments, and may be taken as elective credit for the biology major. There is also an optional field course/lab associated with this course that travels to Peru during Spring Break (see BIOL 372/ENVS 372)
CS 253         : CS 171 or 171Z or CS_OX 171 or equivalent transfer credit
CS 255         : CS 171 or CS 171Z or CS_OX 171 or equivalent transfer credit
BIOL 372       : ENVS 371 or BIOL 371 as a prerequisite OR permission of instructor. (Same as ENVS 372 1) This 2-credit hour field course is part of the Office of International and Summer Programs (OISP) and will be taught during Spring Break week (March 6-15, 2026) in the Amazon River lowland rainforests of southern Peru (Tambopata Research Station), famous for its huge flocks of colorful Macaws. Graduating Seniors and students who have previously completed BIOL 371/ENVS 371 have priority for this course. Cost for the trip is approximately $3200 (depending on airfare prices). Permission of instructor is required. edu; adjunct faculty), is SHARED by the Biology and Environmental Science Departments, and may be taken as elective and upper-level laboratory credit for the biology major. edu (and Leah Thomas in ENVS at leah. edu for ENVS 372). Selected students will be notified and will have additional requirements by OISP. See the OISP website for additional information. Permission of the department required
ECON 412W      : (ECON 201 or ECON_OX 201) and (ECON 212 or ECON_OX 212) or equivalent transfer credit as prerequisites. (Same as AFS 489W 1)
PHYS 311       : PHYS 253 or equivalent transfer credit
CS 312         : CS 211 or CS 323 or CS 325 or CS 334 or CS 470 or equivalent transfer credit
BIOL 385       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Prerequisites: Biology 142 + 142L
ECON 425       : (MATH 211 or MATH_OX 211 or MATH 276) and (ECON 201 or ECON_OX 201) or equivalent transfer credit as prerequisite. (Same as MATH 425 1) (Students, please copy and paste this link in your browser to complete the enrollment request form: https://forms. com/r/wGAcyuzHsG ) (Permission codes will be sent out during Add/Drop/Swap. For enrollment in ECON 425, please contact Erica Bowersox (erica. For enrollment in Math 425, please contact Taylr Tuggle (tatuggl@emory. ) Permission of the department required
PHYS 365       : PHYS 220 or equivalent transfer credit
ECON 433       : (ECON 112 or ECON_OX 112) and (ECON 201 or ECON_OX 201) and (ECON 220 or ECON_OX 220 or MATH 361) or equivalent transfer credit
CS 325         : (CS 224 or CS_OX 224) and CS 253 or equivalent transfer credit
ECON 436       : (ECON 201 or ECON_OX 201) and ECON 215 or equivalent transfer credit
PHYS 422       : PHYS 253 or PHYS_OX 253 or (CHEM 205 and CHEM 205L) or (CHEM 331 and CHEM 331L) or (CHEM 331 and CHEM 331LW) or equivalent transfer credit
CS 326         : (CS 170 or CS_OX 170) and (CS 171 or CS_OX 171) and (CS 224 or CS_OX 224) and CS 253, or equivalent transfer credit
BIOL 450       : BIOL 360 or NBB 301 or IBS 514 or equivalent transfer credit as a prerequisite. Prerequisites: Biology 142 + 142L. Although most of the course will be taught in Matlab, only a working knowledge of basic programming control structures (e. (This course is also taught as IBS 534
ECON 442       : ECON 201 OR ECON_OX201 or equivalent transfer credit
CS 329         : CS 171 or CS 171Z or CS_OX 171 or equivalent transfer credit as a prerequisite. (Same as LING 329 1 and DATASCI 329 1)
BIOL 463       : (BIOL 142 and BIOL 142L) or BIOL_OX 142 or equivalent transfer credit as a prerequisite. Students must also register for the Biology 463 Discussion Section. Prerequisites: Biology 142 + 142L
AAS 490R       : (Permission Required Prior to Enrollment) This course is required for all graduating seniors AAS majors, and is open to graduating seniors AAS minors. Permission of the department required
ECON 451       : ECON 220 or ECON_OX 220 or MATH 361 or equivalent transfer credit
